"ID";"Nome";"Endereço";"Complemento";"Cidade";"Estado";"País";"E-mail";"Site";"Data de cadastro";"N. Profissionais";"N. Cursos Públicos"
"7";"Artia Academy";"";"";"Joinville";"SC";"Brasil";"marketing@artia.com";"www.artia.com";"09/04/2012";"8346";"11"
"318";"LEGATUS - PRODUÇÃOO1";"Rua Alois Finder ";"Cohab";"Joinville";"Santa Catarina";"Brasil";"adilson.lago@artia.com";"www.legatusproducao.com.br";"27/01/2016";"441";"68"
"335";"Euax Sales UP Academy";"Rua São Paulo";"31";"Joinville";"Santa Catarina";"Brasil";"capacitacao@euax.com.br";"www.euax.com.br";"01/03/2016";"104";"197"
"426";"OSMOSE";"CLN 116, bloco H, Sala 217 - Edifício Buriti";"Sala 217";"Brasilia";"DF";"Brasil";"osmose@osmoseweb.com.br";"www.osmoseweb.com.br";"29/08/2016";"23";"3"
"581";"HTF";"Rua Gilbertina Santos Moreira, 66 - Itaúna - MG ";"";"Itaúna";"MG";"Brasil";"contato@htfcapture.com.br";"http://htfcapture.com.br";"22/09/2017";"392";"0"
"613";"Central de Cursos";"Rua Felinto Marques Cerqueira";"Casa";"Feira de Santana";"Bahia";"Brasil";"ead@voipytecnologia.com.br";"www.voipytecnologia.com.br";"01/12/2017";"8275";"228"
"626";"VERBO UNIVERSITY";"Rua das Caviúnas 2116";"";"Sinop";"Mato Grosso";"Brasil";"franquias@verboschools.com";"www.verboschools.com";"17/01/2018";"110";"42"
"632";"Óssea Technology Indústria e Comércio LTDA";"Rua Pedro Stancato 295";"315";"Campinas";"SP";"Brasil";"ossea@ossea.com.br";"www.ossea.com.br";"23/01/2018";"311";"40"
"638";"Seminário Teológico Batista Independente Do Parana ";"Rua Osvaldo Cruz, 1282";"";"Cascavel";"Paraná";"Brasil";"stbipar@hotmail.com";"http://stbipar.com.br";"25/01/2018";"139";"36"
"677";"Visiona Tecnologia Espacial";"*";"*";"SAO JOSE DOS CAMPOS";"São Paulo";"*Brasil";"contato@visionaespacial.com.br";"www.visionaespacial.com.br";"13/04/2018";"100";"3"
"693";"Lontano Transportes";"-";"-";"-";"-";"-";"gabrielaaraujo@lontano.com.br";"https://www.lontano.com.br/";"16/05/2018";"2466";"761"
"709";"Rech ";"Av. Sao Francisco, 735";"";"Goiânia";"Goiás";"Brasil";"educar@rechagricola.com.br";"www.rechagricola.com.br";"26/06/2018";"733";"232"
"724";"Grupo Seres";"RUA ALCINDO GUANABARA";"24";"RIO DE JANEIRO";"RIO DE JANEIRO";"Brasil";"Seres@twygo.com";"https://www.gruposeres.com.br/o-grupo-seres/";"13/07/2018";"16155";"65"
"732";"Doc 9";"R. Arno Vontobel, 52";"";"Porto Alegre";"RS";"Brasil";"atendimento.parceiros@doc9.com.br";"";"27/07/2018";"35158";"14"
"735";"Portal Educacional";"Av. Rudge, 346";"";"São Paulo";"SP";"Brasil";"p.a.e@uol.com.br";"";"01/08/2018";"6034";"25"
"737";"Betim Química Ltda";"Av. Ápio Cardoso, 1305 ";"Empresa";"Contagem";"MG";"Brasil";"ariadynelopes@betimquimica.com.br";"https://betimquimica.com.br/betim-coding/";"07/08/2018";"240";"59"
"749";"EUAX ACADEMY";"Rua São Paulo, 31 ";"";"Joinville";"SC";"Brasil";"comercial@artia.com";"";"27/08/2018";"205";"26"
"767";"PAPA MIKE CONCURSOS";"Rua Castro Alves";"";"Lages ";"SC";"Brasil";"matusax2017@gmail.com";"";"03/09/2018";"2449";"44"
"822";"CONTABILPREV - Assessoria Municipal LTDA";"Av. Ari Marques, Nº 690";"101";"Bom Despacho";"Minas Gerais";"Brasil";"themer@sgprev.com.br";"https://contabilprev.com.br/";"17/09/2018";"124";"48"
"1272";"Direta Cursos - Especialista em Qualificação e Aprovação";"Hermelino Matarazzo, 900";"";"Sorocaba ";"São Paulo ";"Brasil ";"suporte.ead@diretacursos.com.br";"https://www.diretacursos.com.br/";"27/03/2019";"3691";"33"
"1312";"Curso Psicologia da Dança";"Rua Ribeiro Guimarães";"150 - 303";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"mariacristinalopes@gmail.com";"http://www.mariacristinalopes.com/";"16/04/2019";"0";"0"
"1401";"AMX CAPITAL";"Rua Coronel Almeida, 132";"SL 02";"Araquari";"Santa Catarina";"Brasil";"eliezer.silva@amxcapital.com.br";"";"22/05/2019";"58";"1"
